Zone, Tile_no, Seg_no, Reso, Seg_d_size, Seg_d_time, Bitrate, Bitrate1, Buf_lev, Buf_limit, Elapsed, Ref_vp, Local_avg
Z3, 27, 1, 720, 24552.000000, 0.028436, 863412.575608,863408.000000, 1.000000, 2, 0.000063, 172682.515122, 172682.515122
Z3, 28, 1, 720, 10824.000000, 0.027584, 392401.392111,392400.000000, 1.000000, 2, 0.000063, 78480.278422, 78480.278422
Z3, 29, 1, 720, 8336.000000, 0.030531, 273033.965478,273032.000000, 1.000000, 2, 0.000063, 54606.793096, 54606.793096
Z3, 30, 1, 720, 6872.000000, 0.027788, 247300.993234,247296.000000, 1.000000, 2, 0.000063, 49460.198647, 49460.198647
Z3, 31, 1, 720, 6872.000000, 0.027962, 245762.105715,245760.000000, 1.000000, 2, 0.000063, 49152.421143, 49152.421143
Z3, 32, 1, 720, 6376.000000, 0.028520, 223562.412342,223560.000000, 1.000000, 2, 0.000063, 44712.482468, 44712.482468
Z3, 33, 1, 720, 6872.000000, 0.027981, 245595.225331,245592.000000, 1.000000, 2, 0.000063, 49119.045066, 49119.045066
Z3, 34, 1, 720, 6872.000000, 0.028082, 244711.915106,244704.000000, 1.000000, 2, 0.000063, 48942.383021, 48942.383021
Z3, 35, 1, 720, 6376.000000, 0.028028, 227486.798915,227480.000000, 1.000000, 2, 0.000063, 45497.359783, 45497.359783
Z3, 36, 1, 720, 6872.000000, 0.027992, 245498.713918,245496.000000, 1.000000, 2, 0.000063, 49099.742784, 49099.742784
Z3, 37, 1, 720, 6872.000000, 0.028360, 242313.117066,242312.000000, 1.000000, 2, 0.000063, 48462.623413, 48462.623413
Z3, 38, 1, 720, 6376.000000, 0.028213, 225995.108638,225992.000000, 1.000000, 2, 0.000063, 45199.021728, 45199.021728
Z1, 0, 2, 720, 6624.000000, 0.028249, 234486.176502, 234480.000000, 1.000000, 2, 1.469716, 92096.257028, 92096.257028
Z2, 0, 2, 720, 5424.000000, 0.028454, 190623.462431, 190616.000000, 1.000000, 2, 1.469716, 83323.714214, 83323.714214
Z2, 1, 2, 720, 7080.000000, 0.028488, 248525.695029, 248520.000000, 1.000000, 2, 1.469716, 94904.160733, 94904.160733
Z2, 2, 2, 720, 7080.000000, 0.028220, 250885.896527, 250880.000000, 1.000000, 2, 1.469716, 95376.201033, 95376.201033
Z2, 3, 2, 720, 12648.000000, 0.028800, 439166.666667, 439160.000000, 1.000000, 2, 1.469716, 133032.355061, 133032.355061
